building_period,period_start,period_end
1850-1850,1850,1850
1850-1859,1850,1859
1850-1899,1850,1899
1850-1900,1850,1900
1850-1914,1850,1914
1850-1918,1850,1918
1850-1920,1850,1920
1850-1944,1850,1944
1850-1945,1850,1945
1850-1959,1850,1959
1850-1960,1850,1960
1850-1964,1850,1964
1850-1970,1850,1970
1850-1977,1850,1977
1850-1980,1850,1980
1850-1985,1850,1985
1851-1930,1851,1930
1860-1918,1860,1918
1900-1929,1900,1929
1901-1920,1901,1920
1901-1936,1901,1936
1915-1948,1915,1948
1919-1929,1919,1929
1919-1944,1919,1944
1919-1948,1919,1948
1921-1945,1921,1945
1930-1949,1930,1949
1930-1959,1930,1959
1931-1950,1931,1950
1937-1959,1937,1959
1945-1960,1945,1960
1945-1969,1945,1969
1945-1979,1945,1979
1946-1960,1946,1960
1946-1966,1946,1966
1946-1970,1946,1970
1949-1957,1949,1957
1949-1967,1949,1967
1950-1966,1950,1966
1951-1960,1951,1960
1958-1968,1958,1968
1960-1979,1960,1979
1960-1998,1960,1998
1961-1972,1961,1972
1961-1975,1961,1975
1961-1980,1961,1980
1965-1974,1965,1974
1967-1977,1967,1977
1967-1985,1967,1985
1968-1974,1968,1974
1969-1978,1969,1978
1969-2021,1969,2021
1970-1979,1970,1979
1971-1980,1971,1980
1971-1990,1971,1990
1973-1978,1973,1978
1975-1981,1975,1981
1975-1991,1975,1991
1976-1985,1976,1985
1976-1990,1976,1990
1978-1982,1978,1982
1979-1983,1979,1983
1979-1998,1979,1998
1980-1989,1980,1989
1980-2006,1980,2006
1981-1990,1981,1990
1981-1994,1981,1994
1981-2000,1981,2000
1981-2001,1981,2001
1981-2006,1981,2006
1982-1989,1982,1989
1983-1993,1983,1993
1984-1994,1984,1994
1986-1992,1986,1992
1986-1995,1986,1995
1990-1999,1990,1999
1990-2005,1990,2005
1991-2000,1991,2000
1991-2005,1991,2005
1992-2005,1992,2005
1993-2002,1993,2002
1994-2004,1994,2004
1995-2001,1995,2001
1995-2010,1995,2010
1995-2021,1995,2021
1996-2021,1996,2021
1999-2006,1999,2006
1999-2008,1999,2008
2000-2005,2000,2005
2000-2010,2000,2010
2001-2009,2001,2009
2001-2010,2001,2010
2002-2008,2002,2008
2002-2009,2002,2009
2003-2008,2003,2008
2005-2010,2005,2010
2006-2011,2006,2011
2006-2012,2006,2012
2006-2014,2006,2014
2006-2021,2006,2021
2007-2010,2007,2010
2007-2013,2007,2013
2007-2021,2007,2021
2009-2021,2009,2021
2010-2015,2010,2015
2010-2021,2010,2021
2011-2021,2011,2021
2012-2021,2012,2021
2013-2021,2013,2021
2014-2021,2014,2021
2015-2021,2015,2021
2016-2021,2016,2021
