building_stock,building_stock_year,shapefile_path,raster_weight_path,notes
AmBIENCe_2016_AT_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/AT.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_AT_res,2016,../AmBIENCe2ABM/data_sources/eurostat/AT.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/BE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/BE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BG_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/BG.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_BG_res,2016,../AmBIENCe2ABM/data_sources/eurostat/BG.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CY_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/CY.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CY_res,2016,../AmBIENCe2ABM/data_sources/eurostat/CY.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CZ_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/CZ.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_CZ_res,2016,../AmBIENCe2ABM/data_sources/eurostat/CZ.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DE_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/DE.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DE_res,2016,../AmBIENCe2ABM/data_sources/eurostat/DE.shp,../AmBIENCe2ABM/data_sources/gfa_res_curr_density/data/gfa_res_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
AmBIENCe_2016_DK_nonres,2016,../AmBIENCe2ABM/data_sources/eurostat/DK.shp,../AmBIENCe2ABM/data_sources/gfa_nonres_curr_density/data/gfa_nonres_curr_density_epsg4326.tif,"AmBIENCe, Hotmaps, and NUTS available."
