building_stock,building_type,building_period,location_id,heat_source,number_of_buildings,average_gross_floor_area_m2_per_building
AmBIENCe_2016_non-residential,EDU,1850-1944,AT,Electricity,278.5714285714286,700.0
AmBIENCe_2016_non-residential,EDU,1850-1944,AT,Gas,278.5714285714286,700.0
AmBIENCe_2016_non-residential,EDU,1850-1944,BE,Electricity,4451.218084144416,1479.3703376287674
AmBIENCe_2016_non-residential,EDU,1850-1944,BE,Gas,4451.218084144416,1479.3703376287674
AmBIENCe_2016_non-residential,EDU,1850-1944,BG,Gas,2522.785898538263,1292.2222222222222
AmBIENCe_2016_non-residential,EDU,1850-1944,CY,Gas,746.307495100138,1200.9384059622146
AmBIENCe_2016_non-residential,EDU,1850-1944,CZ,Gas,3699.8678299081635,1143.6410474596137
AmBIENCe_2016_non-residential,EDU,1850-1944,DE,Electricity,4330.995891769373,2016.8571428571427
AmBIENCe_2016_non-residential,EDU,1850-1944,DE,Gas,4330.995891769373,2016.8571428571427
AmBIENCe_2016_non-residential,EDU,1850-1944,DK,Electricity,1243.7292948414572,1169.911190840033
AmBIENCe_2016_non-residential,EDU,1850-1944,DK,Gas,2487.4585896829144,1169.911190840033
AmBIENCe_2016_non-residential,EDU,1850-1944,EE,Electricity,57.40002951158329,15813.0
AmBIENCe_2016_non-residential,EDU,1850-1944,EE,Gas,114.80005902316658,15813.0
AmBIENCe_2016_non-residential,EDU,1850-1944,EL,Gas,8073.435897435897,4232.8731440479305
AmBIENCe_2016_non-residential,EDU,1850-1944,ES,Gas,20477.029096477796,819.6018299838715
AmBIENCe_2016_non-residential,EDU,1850-1944,FI,Electricity,296.2962962962963,976.8606870229007
AmBIENCe_2016_non-residential,EDU,1850-1944,FI,Gas,592.5925925925926,976.8606870229007
AmBIENCe_2016_non-residential,EDU,1850-1944,FR,Electricity,41086.44743398107,1209.0361445783133
AmBIENCe_2016_non-residential,EDU,1850-1944,FR,Gas,41086.44743398107,1209.0361445783133
AmBIENCe_2016_non-residential,EDU,1850-1944,HR,Gas,1327.8688524590164,598.2738328756375
AmBIENCe_2016_non-residential,EDU,1850-1944,HU,Gas,5160.013357815222,1116.5383221884179
AmBIENCe_2016_non-residential,EDU,1850-1944,IE,Electricity,249.3321460373999,1391.6427084366012
AmBIENCe_2016_non-residential,EDU,1850-1944,IE,Gas,249.3321460373999,1391.6427084366012
AmBIENCe_2016_non-residential,EDU,1850-1944,IT,Gas,18084.986945169716,1255.7377049180327
AmBIENCe_2016_non-residential,EDU,1850-1944,LT,Electricity,247.74193548387098,1291.6666666666667
AmBIENCe_2016_non-residential,EDU,1850-1944,LT,Gas,495.48387096774195,1291.6666666666667
AmBIENCe_2016_non-residential,EDU,1850-1944,LU,Electricity,221.37404580152673,1310.0
AmBIENCe_2016_non-residential,EDU,1850-1944,LU,Gas,221.37404580152673,1310.0
AmBIENCe_2016_non-residential,EDU,1850-1944,LV,Electricity,154.13509989921982,1758.0432187967474
AmBIENCe_2016_non-residential,EDU,1850-1944,LV,Gas,308.27019979843965,1758.0432187967474
AmBIENCe_2016_non-residential,EDU,1850-1944,MT,Gas,69.44935468490952,3513.3515798242274
AmBIENCe_2016_non-residential,EDU,1850-1944,NL,Electricity,5569.663247614955,481.26119078599777
AmBIENCe_2016_non-residential,EDU,1850-1944,NL,Gas,5569.663247614955,481.26119078599777
AmBIENCe_2016_non-residential,EDU,1850-1944,PL,Gas,14336.80147620905,2140.81457625932
AmBIENCe_2016_non-residential,EDU,1850-1944,PT,Gas,5037.089984909857,1325.3684210526314
AmBIENCe_2016_non-residential,EDU,1850-1944,RO,Gas,16614.457831325304,218.36358852933435
AmBIENCe_2016_non-residential,EDU,1850-1944,SE,Electricity,2419.5948739148407,2316.0515103643065
AmBIENCe_2016_non-residential,EDU,1850-1944,SE,Gas,4839.189747829681,2316.0515103643065
AmBIENCe_2016_non-residential,EDU,1850-1944,SI,Gas,107.77183587539879,2226.9268965361025
AmBIENCe_2016_non-residential,EDU,1850-1944,SK,Gas,2619.4018892858894,1985.5199222546164
AmBIENCe_2016_non-residential,EDU,1945-1969,AT,Electricity,2742.826632173467,947.9272111120315
AmBIENCe_2016_non-residential,EDU,1945-1969,AT,Gas,2742.826632173467,947.9272111120315
AmBIENCe_2016_non-residential,EDU,1945-1969,BE,Electricity,560.3290347485828,1766.8190270457944
AmBIENCe_2016_non-residential,EDU,1945-1969,BE,Gas,560.3290347485828,1766.8190270457944
AmBIENCe_2016_non-residential,EDU,1945-1969,BG,Gas,2143.5941530524506,1292.2222222222224
AmBIENCe_2016_non-residential,EDU,1945-1969,CY,Gas,113.87064198110811,1200.9384059622146
AmBIENCe_2016_non-residential,EDU,1945-1969,CZ,Gas,1904.8987021922574,890.9104166857351
AmBIENCe_2016_non-residential,EDU,1945-1969,DE,Electricity,13595.770861994248,2711.8727120553913
AmBIENCe_2016_non-residential,EDU,1945-1969,DE,Gas,13595.770861994248,2711.8727120553913
AmBIENCe_2016_non-residential,EDU,1945-1969,DK,Electricity,1030.7619498343583,1169.9111908400328
AmBIENCe_2016_non-residential,EDU,1945-1969,DK,Gas,2061.5238996687167,1169.9111908400328
AmBIENCe_2016_non-residential,EDU,1945-1969,EE,Electricity,46.796939227218104,15813.0
AmBIENCe_2016_non-residential,EDU,1945-1969,EE,Gas,93.59387845443621,15813.0
AmBIENCe_2016_non-residential,EDU,1945-1969,EL,Gas,1263.589743589743,4232.873144047931
AmBIENCe_2016_non-residential,EDU,1945-1969,ES,Gas,6261.86830015314,819.6018299838715
AmBIENCe_2016_non-residential,EDU,1945-1969,FI,Electricity,1010.1797704136886,1583.750556479384
AmBIENCe_2016_non-residential,EDU,1945-1969,FI,Gas,2020.3595408273773,1583.750556479384
AmBIENCe_2016_non-residential,EDU,1945-1969,FR,Electricity,7340.558046836074,1209.0361445783133
AmBIENCe_2016_non-residential,EDU,1945-1969,FR,Gas,7340.558046836074,1209.0361445783133
AmBIENCe_2016_non-residential,EDU,1945-1969,HR,Gas,409.83606557377044,598.2738328756376
AmBIENCe_2016_non-residential,EDU,1945-1969,HU,Gas,4752.882777781384,1113.994650802158
AmBIENCe_2016_non-residential,EDU,1945-1969,IE,Electricity,356.1887800534284,1391.6427084366014
AmBIENCe_2016_non-residential,EDU,1945-1969,IE,Gas,356.1887800534284,1391.6427084366014
AmBIENCe_2016_non-residential,EDU,1945-1969,IT,Gas,12940.600522193212,1255.7377049180327
AmBIENCe_2016_non-residential,EDU,1945-1969,LT,Electricity,503.2258064516129,1291.6666666666667
AmBIENCe_2016_non-residential,EDU,1945-1969,LT,Gas,1006.4516129032259,1291.6666666666667
AmBIENCe_2016_non-residential,EDU,1945-1969,LU,Electricity,45.80152671755726,1310.0
AmBIENCe_2016_non-residential,EDU,1945-1969,LU,Gas,45.80152671755726,1310.0
AmBIENCe_2016_non-residential,EDU,1945-1969,LV,Electricity,220.07252654560006,1631.8485839496707
AmBIENCe_2016_non-residential,EDU,1945-1969,LV,Gas,440.1450530912001,1631.8485839496707
AmBIENCe_2016_non-residential,EDU,1945-1969,MT,Gas,13.962707828265088,13177.959623814786
AmBIENCe_2016_non-residential,EDU,1945-1969,NL,Electricity,989.7190607120042,469.2203103531566
