building_type,building_period,location_id,structure_type,design_U_value_W_m2K,effective_thermal_mass_J_m2K,linear_thermal_bridges_W_mK,external_U_value_to_ambient_air_W_m2K,external_U_value_to_ground_W_m2K,internal_U_value_to_structure_W_m2K,total_U_value_W_m2K
ABL,1850-1850,DK,base_floor,0.9207900776498487,287280.70199720276,0.0,0.0,0.31125529364808346,3.9019329124869175,0.2882608644690395
ABL,1850-1850,DK,exterior_wall,1.6062176854312635,561277.025021882,0.0,2.2355233045722183,0.0,5.70587161274555,1.6062176854312633
ABL,1850-1850,DK,light_exterior_wall,1.6062176854312635,561277.025021882,0.0,2.2355233045722183,0.0,5.70587161274555,1.6062176854312633
ABL,1850-1850,DK,light_partition_wall,1.6062176854312635,476478.680940951,0.0,1.470692940952564,0.0,3.667987949089069,1.0497799142730306
ABL,1850-1850,DK,partition_wall,1.6062176854312635,476478.680940951,0.0,1.470692940952564,0.0,3.667987949089069,1.0497799142730306
ABL,1850-1850,DK,roof,0.26000000000000006,555291.441923926,0.0,0.28719774904651296,0.0,2.74549980678152,0.26000000000000006
ABL,1850-1850,DK,separating_floor,0.9207900776498487,277060.1402861913,0.0,0.98120131798546,0.0,3.442553573912128,0.7635680968999614
ABL,1850-1900,ES,base_floor,1.8300000000000003,818972.0538671323,0.0,0.0,0.3794606433806795,4.815916208321272,0.3517455451337237
ABL,1850-1900,ES,exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,ES,light_exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,ES,light_partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,ES,partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,ES,roof,3.08,556859.3244405712,0.0,4.849477264139062,0.0,8.441131330848497,3.0800000000000005
ABL,1850-1900,ES,separating_floor,1.8300000000000003,645827.5968768635,0.0,1.645750052834872,0.0,3.719928040736261,1.1409688883346842
ABL,1850-1900,IT,base_floor,1.5800000000000003,544081.7657061891,0.0,0.0,0.36619985479290323,4.623397904839937,0.3393234731464173
ABL,1850-1900,IT,exterior_wall,1.1576877224084994,1069532.772791329,0.0,1.505090856240328,0.0,5.015571351242327,1.1576877224084994
ABL,1850-1900,IT,light_exterior_wall,1.1576877224084994,1069532.772791329,0.0,1.505090856240328,0.0,5.015571351242327,1.1576877224084994
ABL,1850-1900,IT,light_partition_wall,1.1576877224084994,689313.1403026858,0.0,1.0999874794044233,0.0,3.512598322334054,0.8376677076203496
ABL,1850-1900,IT,partition_wall,1.1576877224084994,689313.1403026858,0.0,1.0999874794044233,0.0,3.512598322334054,0.8376677076203496
ABL,1850-1900,IT,roof,2.6,323171.68977358186,0.0,3.8438793613246602,0.0,8.03461063040791,2.6
ABL,1850-1900,IT,separating_floor,1.5800000000000003,483103.4625042095,0.0,1.4497673949148036,0.0,3.6610515096044676,1.038517155251742
ABL,1850-1900,MT,base_floor,1.8300000000000003,818972.0538671323,0.0,0.0,0.3794606433806795,4.815916208321272,0.3517455451337237
ABL,1850-1900,MT,exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,MT,light_exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,MT,light_partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,MT,partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,MT,roof,3.08,556859.3244405712,0.0,4.849477264139062,0.0,8.441131330848497,3.0800000000000005
ABL,1850-1900,MT,separating_floor,1.8300000000000003,645827.5968768635,0.0,1.645750052834872,0.0,3.719928040736261,1.1409688883346842
ABL,1850-1900,PT,base_floor,1.8300000000000003,818972.0538671323,0.0,0.0,0.3794606433806795,4.815916208321272,0.3517455451337237
ABL,1850-1900,PT,exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,PT,light_exterior_wall,2.3188802488335925,340714.4477950441,0.0,3.634799214299867,0.0,6.405154365663589,2.318880248833592
ABL,1850-1900,PT,light_partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,PT,partition_wall,2.3188802488335925,318712.84411870607,0.0,2.00730461574516,0.0,3.8013833298796316,1.3136416305564405
ABL,1850-1900,PT,roof,3.08,556859.3244405712,0.0,4.849477264139062,0.0,8.441131330848497,3.0800000000000005
ABL,1850-1900,PT,separating_floor,1.8300000000000003,645827.5968768635,0.0,1.645750052834872,0.0,3.719928040736261,1.1409688883346842
ABL,1850-1914,FR,base_floor,2.6349473684210527,272530.31411339284,0.0,0.0,0.4090185538807201,5.23693402534281,0.37938738445958353
ABL,1850-1914,FR,exterior_wall,1.3849403201086938,1070027.69156289,0.0,1.862726391169849,0.0,5.39941417449041,1.3849403201086938
ABL,1850-1914,FR,light_exterior_wall,1.3849403201086938,1070027.69156289,0.0,1.862726391169849,0.0,5.39941417449041,1.3849403201086938
ABL,1850-1914,FR,light_partition_wall,1.3849403201086938,689445.5821076474,0.0,1.2912387181341922,0.0,3.602271234443633,0.9505226588298629
ABL,1850-1914,FR,partition_wall,1.3849403201086938,689445.5821076474,0.0,1.2912387181341922,0.0,3.602271234443633,0.9505226588298629
ABL,1850-1914,FR,roof,3.2000000000000006,522943.59643465985,0.0,5.121638924455828,0.0,8.528784648187633,3.2000000000000006
ABL,1850-1914,FR,separating_floor,2.6349473684210527,263793.632304619,0.0,2.2269804842063383,0.0,3.839129551911375,1.4094150184453642
ABL,1850-1918,AT,base_floor,0.8999999999999999,842621.875972417,0.0,0.0,0.30930640688936734,3.786285233487589,0.2859470337527415
ABL,1850-1918,AT,exterior_wall,1.1,823311.0566879071,0.0,1.4180739976795154,0.0,4.90414623272403,1.1
ABL,1850-1918,AT,light_exterior_wall,1.1,823311.0566879071,0.0,1.4180739976795154,0.0,4.90414623272403,1.1
ABL,1850-1918,AT,light_partition_wall,1.1,607944.0747707648,0.0,1.0502697283620568,0.0,3.484872485347695,0.8070432868672047
ABL,1850-1918,AT,partition_wall,1.1,607944.0747707648,0.0,1.0502697283620568,0.0,3.484872485347695,0.8070432868672047
ABL,1850-1918,AT,roof,1.05,294445.26844464586,0.0,1.2967765839199703,0.0,5.5176037834997365,1.05
ABL,1850-1918,AT,separating_floor,0.8999999999999999,657236.9322180903,0.0,0.8740834264070315,0.0,3.36637366747709,0.6939090208172706
ABL,1850-1918,CH,base_floor,0.8999999999999999,842621.875972417,0.0,0.0,0.30930640688936734,3.786285233487589,0.2859470337527415
ABL,1850-1918,CH,exterior_wall,1.1,823311.0566879071,0.0,1.4180739976795154,0.0,4.90414623272403,1.1
ABL,1850-1918,CH,light_exterior_wall,1.1,823311.0566879071,0.0,1.4180739976795154,0.0,4.90414623272403,1.1
ABL,1850-1918,CH,light_partition_wall,1.1,607944.0747707648,0.0,1.0502697283620568,0.0,3.484872485347695,0.8070432868672047
ABL,1850-1918,CH,partition_wall,1.1,607944.0747707648,0.0,1.0502697283620568,0.0,3.484872485347695,0.8070432868672047
ABL,1850-1918,CH,roof,1.05,294445.26844464586,0.0,1.2967765839199703,0.0,5.5176037834997365,1.05
ABL,1850-1918,CH,separating_floor,0.8999999999999999,657236.9322180903,0.0,0.8740834264070315,0.0,3.36637366747709,0.6939090208172706
ABL,1850-1918,DE,base_floor,1.2,699254.614253891,0.0,0.0,0.3394803164816406,4.231311706629055,0.31426654943738064
ABL,1850-1918,DE,exterior_wall,1.7,524209.9861290579,0.0,2.401469134058482,0.0,5.819924683327628,1.6999999999999997
ABL,1850-1918,DE,light_exterior_wall,1.7,524209.9861290579,0.0,2.401469134058482,0.0,5.819924683327628,1.6999999999999997
ABL,1850-1918,DE,light_partition_wall,1.7,453168.99855070736,0.0,1.5448225725839428,0.0,3.691238736293562,1.0890454836643177
