building_type,building_period,location_id,HRU_efficiency,infiltration_rate_1_h,total_normal_solar_energy_transmittance,ventilation_rate_1_h,window_U_value_W_m2K
ABL,1850-1850,DK,0.0,0.0,0.5625,0.0,2.655
ABL,1850-1900,ES,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1850-1900,IT,0.0,0.0,0.6375,0.0,4.9
ABL,1850-1900,MT,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1850-1900,PT,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1850-1914,FR,0.0,0.0,0.6375,0.0,4.8
ABL,1850-1918,AT,0.0,0.0,0.5625,0.0,2.2
ABL,1850-1918,CH,0.0,0.0,0.5625,0.0,2.7999999999999994
ABL,1850-1918,DE,0.0,0.0,0.5625,0.0,2.7999999999999994
ABL,1850-1920,CZ,0.0,0.0,0.5625,0.0,2.7000000000000006
ABL,1850-1920,SK,0.0,0.0,0.5625,0.0,2.7000000000000006
ABL,1850-1945,HR,0.0,0.0,0.5625,0.0,2.8
ABL,1850-1945,SI,0.0,0.0,0.5625,0.0,2.8
ABL,1850-1959,BG,0.0,0.0,0.5625,0.0,2.32
ABL,1850-1959,RO,0.0,0.0,0.5625,0.0,2.32
ABL,1850-1964,LU,0.0,0.0,0.5625,0.0,3.270555555555555
ABL,1850-1964,NL,0.0,0.0,0.5625,0.0,3.270555555555555
ABL,1850-1970,BE,0.0,0.0,0.6375,0.0,5.0
ABL,1850-1977,IE,0.0,0.0,0.6375,0.0,5.7
ABL,1850-1977,UK,0.0,0.0,0.6375,0.0,5.7
ABL,1850-1985,PL,0.0,0.0,0.5625,0.0,2.6
ABL,1851-1930,DK,0.0,0.0,0.5625,0.0,2.6750000000000003
ABL,1901-1920,IT,0.0,0.0,0.6375,0.0,4.9
ABL,1901-1936,ES,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1901-1936,MT,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1901-1936,PT,0.0,0.0,0.6375,0.0,5.349999999999999
ABL,1915-1948,FR,0.0,0.0,0.5625,0.0,2.7999999999999994
ABL,1919-1944,AT,0.0,0.0,0.5625,0.0,2.2
ABL,1919-1948,CH,0.0,0.0,0.5625,0.0,3.0
ABL,1919-1948,DE,0.0,0.0,0.5625,0.0,3.0
ABL,1921-1945,CZ,0.0,0.0,0.5625,0.0,2.7000000000000006
ABL,1921-1945,IT,0.0,0.0,0.6375,0.0,5.7
ABL,1921-1945,SK,0.0,0.0,0.5625,0.0,2.7000000000000006
ABL,1931-1950,DK,0.0,0.0,0.5625,0.0,2.7149999999999994
ABL,1937-1959,ES,0.0,0.0,0.6375,0.0,4.59
ABL,1937-1959,MT,0.0,0.0,0.6375,0.0,4.59
ABL,1937-1959,PT,0.0,0.0,0.6375,0.0,4.59
ABL,1945-1960,AT,0.0,0.0,0.5025000000000001,0.0,2.2999999999999994
ABL,1946-1960,CZ,0.0,0.0,0.5625,0.0,2.7999999999999994
ABL,1946-1960,IT,0.0,0.0,0.6375,0.0,4.9
ABL,1946-1960,SK,0.0,0.0,0.5625,0.0,2.7999999999999994
ABL,1946-1970,HR,0.0,0.0,0.5625,0.0,2.8
ABL,1946-1970,SI,0.0,0.0,0.5625,0.0,2.8
ABL,1949-1957,CH,0.0,0.0,0.5625,0.0,3.0
ABL,1949-1957,DE,0.0,0.0,0.5625,0.0,3.0
