country,shapefile_path,notes
AL,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
AT,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
BA,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe, Hotmaps, or NUTS available."
BE,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
BG,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
CH,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe data, but Hotmaps and NUTS available."
CY,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
CZ,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
DE,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
DK,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
EE,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
EL,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
ES,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
FI,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
FR,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
HR,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
HU,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
IE,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
IT,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
LT,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
LU,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
LV,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
MD,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe, Hotmaps, or NUTS available."
ME,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
MK,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
MT,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
NL,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
NO,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe data, but Hotmaps and NUTS available."
PL,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
PT,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
RO,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
RS,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
SE,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
SI,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
SK,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"AmBIENCe, Hotmaps, and NUTS available."
TR,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
UA,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
UK,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or NUTS, but Hotmaps data available."
XK,../AmBIENCe2ABM/data_sources/eurostat/NUTS-Mopo.shp,"No AmBIENCe or Hotmaps data, but NUTS regions available."
