building_archetype,building_scope,building_fabrics,building_frame_depth_m,number_of_storeys,weather_start,weather_end,room_height_m,window_area_to_external_wall_ratio_m2_m2,partition_wall_length_ratio_to_external_walls_m_m,window_area_thermal_bridge_surcharge_W_m2K,reference_floor_area_m2,reference_wall_area_m2,reference_window_area_m2,reference_roof_area_m2,grid_name,node_name
AT_nonres_1850_2021,AT_nonres_1850_2021,ZonWallIntB,8.126307585305002,3.5,2016-01-01,2016-01-02,2.6,0.18517522376948115,0.5,0.1,387.5032229392505,611.5752851549764,156.54449428052826,387.5032229392505,heat,AT
AT_res_1850_2021,AT_res_1850_2021,ZonWallIntB,7.1765256079298005,2.5,2016-01-01,2016-01-02,2.6,0.11332512388149737,0.5,0.1,178.60705296861792,400.9611290673477,57.545588605426026,178.601064257481,heat,AT
BE_nonres_1850_2021,BE_nonres_1850_2021,ZonWallIntB,9.35727307571837,3.5,2016-01-01,2016-01-02,2.6,0.18390595529874545,0.5,0.1,548.9454132496729,653.9078470726873,151.8657590262976,548.9454132496729,heat,BE
BE_res_1850_2021,BE_res_1850_2021,ZonWallIntB,9.055028328030243,10.0,2016-01-01,2016-01-02,2.6,0.5109257745867478,0.5,0.1,540.9033745167451,2153.5860029436662,3030.0437981071464,551.7221282000629,heat,BE
BG_nonres_1850_2021,BG_nonres_1850_2021,ZonWallIntB,9.406484601392428,3.5,2016-01-01,2016-01-02,2.6,0.18973915885416598,0.5,0.1,525.2763266216863,680.5721667349478,161.2460776537667,525.2763266216863,heat,BG
BG_res_1850_2021,BG_res_1850_2021,ZonWallIntB,7.116746485742654,3.0,2016-01-01,2016-01-02,2.6,0.19820475528245798,0.5,0.1,287.1953872094648,673.2135165830093,235.91583374678328,300.36227584617524,heat,BG
CH_nonres_1850_2021,CH_nonres_1850_2021,ZonWallIntB,8.126307585305,3.5,2016-01-01,2016-01-02,2.6,0.18517522376948112,0.5,0.1,387.50322293925046,611.5752851549764,156.54449428052826,387.50322293925046,heat,CH
CH_res_1850_2021,CH_res_1850_2021,ZonWallIntB,7.1765256079298,2.5,2016-01-01,2016-01-02,2.6,0.11332512388149736,0.5,0.1,178.60705296861792,400.9611290673477,57.54558860542602,178.60106425748097,heat,CH
CY_nonres_1850_2021,CY_nonres_1850_2021,ZonWallIntB,4.263718138493245,4.5,2016-01-01,2016-01-02,2.6,0.10325016180001043,0.5,0.1,142.92103586587623,399.39959160677995,61.516719171330934,142.92103586587623,heat,CY
CY_res_1850_2021,CY_res_1850_2021,ZonWallIntB,5.556380428736141,2.0,2016-01-01,2016-01-02,2.6,0.14239628863116932,0.5,0.1,182.88440470193717,656.0642325850779,108.94605431457049,183.56458870554258,heat,CY
CZ_nonres_1850_2021,CZ_nonres_1850_2021,ZonWallIntB,7.412552175934505,4.0,2016-01-01,2016-01-02,2.6,0.17358544389231495,0.5,0.1,318.98316252411945,632.4902307138892,141.52731908038686,318.98316252411945,heat,CZ
CZ_res_1850_2021,CZ_res_1850_2021,ZonWallIntB,7.138429451639273,3.5,2016-01-01,2016-01-02,2.6,0.17658705140982794,0.5,0.1,204.77947217258836,538.2921055062492,189.2016441699019,207.62648884760924,heat,CZ
DE_nonres_1850_2021,DE_nonres_1850_2021,ZonWallIntB,9.75720441923749,4.5,2016-01-01,2016-01-02,2.6,0.25144648123215757,0.5,0.1,525.3581131455994,880.5351318464843,310.82321507168007,525.3581131455994,heat,DE
DE_res_1850_2021,DE_res_1850_2021,ZonWallIntB,6.301914500460096,2.5,2016-01-01,2016-01-02,2.6,0.16513263317710175,0.5,0.1,211.48569114966776,536.2291038529661,119.26253974021617,234.98487124423346,heat,DE
DK_nonres_1850_2021,DK_nonres_1850_2021,ZonWallIntB,7.692744709287542,4.0,2016-01-01,2016-01-02,2.6,0.1775903678745454,0.5,0.1,346.33667213960643,648.6462606025905,142.66662539368417,346.33667213960643,heat,DK
DK_res_1850_2021,DK_res_1850_2021,ZonWallIntB,6.712612065565776,1.5,2016-01-01,2016-01-02,2.6,0.1740849046464278,0.5,0.1,151.66788016887753,173.25354626199697,53.19480871102096,161.3286955784325,heat,DK
EE_nonres_1850_2021,EE_nonres_1850_2021,ZonWallIntB,19.721830316480958,4.0,2016-01-01,2016-01-02,2.6,0.47788903649899583,0.5,0.1,2495.221533395015,938.6307786371783,1170.9249983968928,2495.221533395015,heat,EE
EE_res_1850_2021,EE_res_1850_2021,ZonWallIntB,5.834956041819063,2.0,2016-01-01,2016-01-02,2.6,0.140056512044254,0.5,0.1,292.07552675652323,490.56613348960553,98.51574848559613,292.07552675652323,heat,EE
EL_nonres_1850_2021,EL_nonres_1850_2021,ZonWallIntB,11.596885281569532,3.0,2016-01-01,2016-01-02,2.6,0.29614184577569885,0.5,0.1,940.588665449143,676.8221166270904,483.3674828695934,940.588665449143,heat,EL
EL_res_1850_2021,EL_res_1850_2021,ZonWallIntB,7.86109750995437,3.5,2016-01-01,2016-01-02,2.6,0.21008913671281237,0.5,0.1,163.1554398466587,412.9237246500233,128.8843855080074,177.69720121838768,heat,EL
