building_archetype,building_loads,hours,indoor_air_heating_set_point_override_K,indoor_air_cooling_set_point_override_K
IE_nonres_1850_2021,central_nonres_UTC+0,h00-01,289.1,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h00-01,289.1,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h00-01,289.1,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h01-02,289.16,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h01-02,289.16,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h01-02,289.16,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h02-03,289.43,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h02-03,289.43,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h02-03,289.43,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h03-04,289.87,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h03-04,289.87,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h03-04,289.87,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h04-05,290.4,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h04-05,290.4,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h04-05,290.4,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h05-06,290.93,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h05-06,290.93,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h05-06,290.93,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h06-07,291.37,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h06-07,291.37,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h06-07,291.37,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h07-08,291.64,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h07-08,291.64,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h07-08,291.64,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h08-09,291.7,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h08-09,291.7,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h08-09,291.7,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h09-10,291.57,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h09-10,291.57,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h09-10,291.57,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h10-11,291.3,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h10-11,291.3,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h10-11,291.3,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h11-12,290.97,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h11-12,290.97,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h11-12,290.97,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h12-13,290.66,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h12-13,290.66,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h12-13,290.66,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h13-14,290.44,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h13-14,290.44,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h13-14,290.44,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h14-15,290.33,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h14-15,290.33,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h14-15,290.33,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h15-16,290.33,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h15-16,290.33,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h15-16,290.33,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h16-17,290.4,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h16-17,290.4,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h16-17,290.4,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h17-18,290.47,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h17-18,290.47,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h17-18,290.47,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h18-19,290.47,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h18-19,290.47,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h18-19,290.47,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h19-20,290.36,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h19-20,290.36,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h19-20,290.36,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h20-21,290.14,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h20-21,290.14,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h20-21,290.14,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h21-22,289.83,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h21-22,289.83,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h21-22,289.83,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h22-23,289.5,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h22-23,289.5,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h22-23,289.5,291.7
IE_nonres_1850_2021,central_nonres_UTC+0,h23-24,289.23,291.7
PT_nonres_1850_2021,central_nonres_UTC+0,h23-24,289.23,291.7
UK_nonres_1850_2021,central_nonres_UTC+0,h23-24,289.23,291.7
AT_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
BE_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
CZ_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
DE_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
ES_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
FR_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
HR_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
HU_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
IT_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
LU_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
MT_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
NL_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
PL_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
SI_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
SK_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
CH_nonres_1850_2021,central_nonres_UTC+1,h00-01,289.16,291.7
AT_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
BE_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
CZ_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
DE_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
ES_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
FR_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
HR_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
HU_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
IT_nonres_1850_2021,central_nonres_UTC+1,h01-02,289.43,291.7
