building_loads,hours,domestic_hot_water_demand_gfa_scaling_W_m2,internal_heat_loads_gfa_scaling_W_m2
central_nonres_UTC+0,h00-01,0.74,0.0
central_nonres_UTC+0,h01-02,0.56,0.0
central_nonres_UTC+0,h02-03,0.46,0.0
central_nonres_UTC+0,h03-04,0.36,0.0
central_nonres_UTC+0,h04-05,0.59,0.0
central_nonres_UTC+0,h05-06,1.46,0.0
central_nonres_UTC+0,h06-07,4.26,0.34
central_nonres_UTC+0,h07-08,6.49,2.03
central_nonres_UTC+0,h08-09,5.64,7.95
central_nonres_UTC+0,h09-10,4.88,11.99
central_nonres_UTC+0,h10-11,4.67,11.15
central_nonres_UTC+0,h11-12,4.47,10.81
central_nonres_UTC+0,h12-13,4.73,5.29
central_nonres_UTC+0,h13-14,4.18,10.35
central_nonres_UTC+0,h14-15,3.39,10.46
central_nonres_UTC+0,h15-16,2.99,10.49
central_nonres_UTC+0,h16-17,3.37,7.27
central_nonres_UTC+0,h17-18,3.31,2.7
central_nonres_UTC+0,h18-19,4.77,2.75
central_nonres_UTC+0,h19-20,4.27,1.93
central_nonres_UTC+0,h20-21,3.43,1.8
central_nonres_UTC+0,h21-22,3.19,0.88
central_nonres_UTC+0,h22-23,2.36,0.55
central_nonres_UTC+0,h23-24,1.34,0.28
central_nonres_UTC+1,h00-01,0.56,0.0
central_nonres_UTC+1,h01-02,0.46,0.0
central_nonres_UTC+1,h02-03,0.36,0.0
central_nonres_UTC+1,h03-04,0.59,0.0
central_nonres_UTC+1,h04-05,1.46,0.0
central_nonres_UTC+1,h05-06,4.26,0.34
central_nonres_UTC+1,h06-07,6.49,2.03
central_nonres_UTC+1,h07-08,5.64,7.95
central_nonres_UTC+1,h08-09,4.88,11.99
central_nonres_UTC+1,h09-10,4.67,11.15
central_nonres_UTC+1,h10-11,4.47,10.81
central_nonres_UTC+1,h11-12,4.73,5.29
central_nonres_UTC+1,h12-13,4.18,10.35
central_nonres_UTC+1,h13-14,3.39,10.46
central_nonres_UTC+1,h14-15,2.99,10.49
central_nonres_UTC+1,h15-16,3.37,7.27
central_nonres_UTC+1,h16-17,3.31,2.7
central_nonres_UTC+1,h17-18,4.77,2.75
central_nonres_UTC+1,h18-19,4.27,1.93
central_nonres_UTC+1,h19-20,3.43,1.8
central_nonres_UTC+1,h20-21,3.19,0.88
central_nonres_UTC+1,h21-22,2.36,0.55
central_nonres_UTC+1,h22-23,1.34,0.28
central_nonres_UTC+1,h23-24,0.74,0.0
central_nonres_UTC+2,h00-01,0.46,0.0
central_nonres_UTC+2,h01-02,0.36,0.0
central_nonres_UTC+2,h02-03,0.59,0.0
central_nonres_UTC+2,h03-04,1.46,0.0
central_nonres_UTC+2,h04-05,4.26,0.34
central_nonres_UTC+2,h05-06,6.49,2.03
central_nonres_UTC+2,h06-07,5.64,7.95
central_nonres_UTC+2,h07-08,4.88,11.99
central_nonres_UTC+2,h08-09,4.67,11.15
central_nonres_UTC+2,h09-10,4.47,10.81
central_nonres_UTC+2,h10-11,4.73,5.29
central_nonres_UTC+2,h11-12,4.18,10.35
central_nonres_UTC+2,h12-13,3.39,10.46
central_nonres_UTC+2,h13-14,2.99,10.49
central_nonres_UTC+2,h14-15,3.37,7.27
central_nonres_UTC+2,h15-16,3.31,2.7
central_nonres_UTC+2,h16-17,4.77,2.75
