building_scope,building_stock,scope_period_start_year,scope_period_end_year
AT_nonres_1850_2021,AmBIENCe_2016_AT_nonres,1850,2021
AT_res_1850_2021,AmBIENCe_2016_AT_res,1850,2021
BE_nonres_1850_2021,AmBIENCe_2016_BE_nonres,1850,2021
BE_res_1850_2021,AmBIENCe_2016_BE_res,1850,2021
BG_nonres_1850_2021,AmBIENCe_2016_BG_nonres,1850,2021
BG_res_1850_2021,AmBIENCe_2016_BG_res,1850,2021
CH_nonres_1850_2021,ext_2016_CH_nonres,1850,2021
CH_res_1850_2021,ext_2016_CH_res,1850,2021
CY_nonres_1850_2021,AmBIENCe_2016_CY_nonres,1850,2021
CY_res_1850_2021,AmBIENCe_2016_CY_res,1850,2021
CZ_nonres_1850_2021,AmBIENCe_2016_CZ_nonres,1850,2021
CZ_res_1850_2021,AmBIENCe_2016_CZ_res,1850,2021
DE_nonres_1850_2021,AmBIENCe_2016_DE_nonres,1850,2021
DE_res_1850_2021,AmBIENCe_2016_DE_res,1850,2021
DK_nonres_1850_2021,AmBIENCe_2016_DK_nonres,1850,2021
DK_res_1850_2021,AmBIENCe_2016_DK_res,1850,2021
EE_nonres_1850_2021,AmBIENCe_2016_EE_nonres,1850,2021
EE_res_1850_2021,AmBIENCe_2016_EE_res,1850,2021
EL_nonres_1850_2021,AmBIENCe_2016_EL_nonres,1850,2021
EL_res_1850_2021,AmBIENCe_2016_EL_res,1850,2021
ES_nonres_1850_2021,AmBIENCe_2016_ES_nonres,1850,2021
ES_res_1850_2021,AmBIENCe_2016_ES_res,1850,2021
FI_nonres_1850_2021,AmBIENCe_2016_FI_nonres,1850,2021
FI_res_1850_2021,AmBIENCe_2016_FI_res,1850,2021
FR_nonres_1850_2021,AmBIENCe_2016_FR_nonres,1850,2021
FR_res_1850_2021,AmBIENCe_2016_FR_res,1850,2021
HR_nonres_1850_2021,AmBIENCe_2016_HR_nonres,1850,2021
HR_res_1850_2021,AmBIENCe_2016_HR_res,1850,2021
HU_nonres_1850_2021,AmBIENCe_2016_HU_nonres,1850,2021
HU_res_1850_2021,AmBIENCe_2016_HU_res,1850,2021
IE_nonres_1850_2021,AmBIENCe_2016_IE_nonres,1850,2021
IE_res_1850_2021,AmBIENCe_2016_IE_res,1850,2021
IT_nonres_1850_2021,AmBIENCe_2016_IT_nonres,1850,2021
IT_res_1850_2021,AmBIENCe_2016_IT_res,1850,2021
LT_nonres_1850_2021,AmBIENCe_2016_LT_nonres,1850,2021
LT_res_1850_2021,AmBIENCe_2016_LT_res,1850,2021
LU_nonres_1850_2021,AmBIENCe_2016_LU_nonres,1850,2021
LU_res_1850_2021,AmBIENCe_2016_LU_res,1850,2021
LV_nonres_1850_2021,AmBIENCe_2016_LV_nonres,1850,2021
LV_res_1850_2021,AmBIENCe_2016_LV_res,1850,2021
MT_nonres_1850_2021,AmBIENCe_2016_MT_nonres,1850,2021
MT_res_1850_2021,AmBIENCe_2016_MT_res,1850,2021
NL_nonres_1850_2021,AmBIENCe_2016_NL_nonres,1850,2021
NL_res_1850_2021,AmBIENCe_2016_NL_res,1850,2021
NO_nonres_1850_2021,ext_2016_NO_nonres,1850,2021
NO_res_1850_2021,ext_2016_NO_res,1850,2021
PL_nonres_1850_2021,AmBIENCe_2016_PL_nonres,1850,2021
PL_res_1850_2021,AmBIENCe_2016_PL_res,1850,2021
PT_nonres_1850_2021,AmBIENCe_2016_PT_nonres,1850,2021
PT_res_1850_2021,AmBIENCe_2016_PT_res,1850,2021
RO_nonres_1850_2021,AmBIENCe_2016_RO_nonres,1850,2021
RO_res_1850_2021,AmBIENCe_2016_RO_res,1850,2021
SE_nonres_1850_2021,AmBIENCe_2016_SE_nonres,1850,2021
SE_res_1850_2021,AmBIENCe_2016_SE_res,1850,2021
SI_nonres_1850_2021,AmBIENCe_2016_SI_nonres,1850,2021
SI_res_1850_2021,AmBIENCe_2016_SI_res,1850,2021
SK_nonres_1850_2021,AmBIENCe_2016_SK_nonres,1850,2021
SK_res_1850_2021,AmBIENCe_2016_SK_res,1850,2021
UK_nonres_1850_2021,ext_2016_UK_nonres,1850,2021
UK_res_1850_2021,ext_2016_UK_res,1850,2021
