building_scope,building_type
AT_nonres_1850_2021,OFF
AT_nonres_1850_2021,TRA
AT_nonres_1850_2021,EDU
AT_nonres_1850_2021,HEA
AT_nonres_1850_2021,HOR
AT_nonres_1850_2021,OTH
AT_res_1850_2021,ABL
AT_res_1850_2021,MFH
AT_res_1850_2021,SFH
BE_nonres_1850_2021,HEA
BE_nonres_1850_2021,HOR
BE_nonres_1850_2021,OTH
BE_nonres_1850_2021,TRA
BE_nonres_1850_2021,OFF
BE_nonres_1850_2021,EDU
BE_res_1850_2021,SFH
BE_res_1850_2021,MFH
BE_res_1850_2021,ABL
BG_nonres_1850_2021,OTH
BG_nonres_1850_2021,HOR
BG_nonres_1850_2021,HEA
BG_nonres_1850_2021,EDU
BG_nonres_1850_2021,TRA
BG_nonres_1850_2021,OFF
BG_res_1850_2021,ABL
BG_res_1850_2021,MFH
BG_res_1850_2021,SFH
CH_nonres_1850_2021,OTH
CH_nonres_1850_2021,HOR
CH_nonres_1850_2021,HEA
CH_nonres_1850_2021,EDU
CH_nonres_1850_2021,TRA
CH_nonres_1850_2021,OFF
CH_res_1850_2021,SFH
CH_res_1850_2021,MFH
CH_res_1850_2021,ABL
CY_nonres_1850_2021,TRA
CY_nonres_1850_2021,EDU
CY_nonres_1850_2021,HEA
CY_nonres_1850_2021,HOR
CY_nonres_1850_2021,OTH
CY_nonres_1850_2021,OFF
CY_res_1850_2021,SFH
CY_res_1850_2021,MFH
CZ_nonres_1850_2021,TRA
CZ_nonres_1850_2021,OFF
CZ_nonres_1850_2021,EDU
CZ_nonres_1850_2021,OTH
CZ_nonres_1850_2021,HOR
CZ_nonres_1850_2021,HEA
CZ_res_1850_2021,SFH
CZ_res_1850_2021,ABL
CZ_res_1850_2021,MFH
DE_nonres_1850_2021,HEA
DE_nonres_1850_2021,EDU
DE_nonres_1850_2021,TRA
DE_nonres_1850_2021,OFF
DE_nonres_1850_2021,HOR
DE_nonres_1850_2021,OTH
DE_res_1850_2021,SFH
DE_res_1850_2021,MFH
DE_res_1850_2021,ABL
DK_nonres_1850_2021,OFF
DK_nonres_1850_2021,TRA
DK_nonres_1850_2021,HEA
DK_nonres_1850_2021,HOR
DK_nonres_1850_2021,OTH
DK_nonres_1850_2021,EDU
DK_res_1850_2021,SFH
DK_res_1850_2021,ABL
EE_nonres_1850_2021,OFF
EE_nonres_1850_2021,EDU
EE_nonres_1850_2021,HEA
EE_nonres_1850_2021,TRA
EE_nonres_1850_2021,HOR
EE_nonres_1850_2021,OTH
EE_res_1850_2021,SFH
EE_res_1850_2021,MFH
EL_nonres_1850_2021,EDU
EL_nonres_1850_2021,OFF
EL_nonres_1850_2021,OTH
EL_nonres_1850_2021,HOR
EL_nonres_1850_2021,HEA
EL_nonres_1850_2021,TRA
EL_res_1850_2021,SFH
EL_res_1850_2021,MFH
ES_nonres_1850_2021,EDU
ES_nonres_1850_2021,OFF
ES_nonres_1850_2021,TRA
ES_nonres_1850_2021,OTH
ES_nonres_1850_2021,HEA
ES_nonres_1850_2021,HOR
ES_res_1850_2021,ABL
ES_res_1850_2021,MFH
ES_res_1850_2021,SFH
FI_nonres_1850_2021,TRA
FI_nonres_1850_2021,EDU
FI_nonres_1850_2021,OFF
FI_nonres_1850_2021,HEA
FI_nonres_1850_2021,OTH
FI_nonres_1850_2021,HOR
FI_res_1850_2021,MFH
FI_res_1850_2021,SFH
FR_nonres_1850_2021,EDU
FR_nonres_1850_2021,TRA
FR_nonres_1850_2021,OFF
FR_nonres_1850_2021,HEA
FR_nonres_1850_2021,HOR
FR_nonres_1850_2021,OTH
FR_res_1850_2021,ABL
FR_res_1850_2021,MFH
FR_res_1850_2021,SFH
HR_nonres_1850_2021,TRA
HR_nonres_1850_2021,EDU
HR_nonres_1850_2021,HEA
HR_nonres_1850_2021,HOR
HR_nonres_1850_2021,OFF
HR_nonres_1850_2021,OTH
HR_res_1850_2021,SFH
HR_res_1850_2021,MFH
HR_res_1850_2021,ABL
HU_nonres_1850_2021,HOR
HU_nonres_1850_2021,HEA
HU_nonres_1850_2021,EDU
HU_nonres_1850_2021,TRA
HU_nonres_1850_2021,OFF
HU_nonres_1850_2021,OTH
HU_res_1850_2021,MFH
HU_res_1850_2021,SFH
IE_nonres_1850_2021,TRA
IE_nonres_1850_2021,EDU
IE_nonres_1850_2021,HEA
IE_nonres_1850_2021,HOR
IE_nonres_1850_2021,OTH
IE_nonres_1850_2021,OFF
IE_res_1850_2021,ABL
IE_res_1850_2021,SFH
