building_scope,heat_source
AT-EDU-1850-1944,Electricity
AT-EDU-1850-1944,Gas
BE-EDU-1850-1944,Electricity
BE-EDU-1850-1944,Gas
BG-EDU-1850-1944,Gas
CY-EDU-1850-1944,Gas
CZ-EDU-1850-1944,Gas
DE-EDU-1850-1944,Electricity
DE-EDU-1850-1944,Gas
DK-EDU-1850-1944,District
DK-EDU-1850-1944,Electricity
DK-EDU-1850-1944,Gas
EE-EDU-1850-1944,District
EE-EDU-1850-1944,Electricity
EE-EDU-1850-1944,Gas
EL-EDU-1850-1944,Gas
ES-EDU-1850-1944,Gas
FI-EDU-1850-1944,District
FI-EDU-1850-1944,Electricity
FI-EDU-1850-1944,Gas
FR-EDU-1850-1944,Electricity
FR-EDU-1850-1944,Gas
HR-EDU-1850-1944,Gas
HU-EDU-1850-1944,Gas
IE-EDU-1850-1944,Electricity
IE-EDU-1850-1944,Gas
IT-EDU-1850-1944,Gas
LT-EDU-1850-1944,District
LT-EDU-1850-1944,Electricity
LT-EDU-1850-1944,Gas
LU-EDU-1850-1944,Electricity
LU-EDU-1850-1944,Gas
LV-EDU-1850-1944,District
LV-EDU-1850-1944,Electricity
LV-EDU-1850-1944,Gas
MT-EDU-1850-1944,Gas
NL-EDU-1850-1944,Electricity
NL-EDU-1850-1944,Gas
PL-EDU-1850-1944,Gas
PT-EDU-1850-1944,Gas
RO-EDU-1850-1944,Gas
SE-EDU-1850-1944,District
SE-EDU-1850-1944,Electricity
SE-EDU-1850-1944,Gas
SI-EDU-1850-1944,Gas
SK-EDU-1850-1944,Gas
AT-EDU-1945-1969,Electricity
AT-EDU-1945-1969,Gas
BE-EDU-1945-1969,Electricity
BE-EDU-1945-1969,Gas
BG-EDU-1945-1969,Gas
CY-EDU-1945-1969,Gas
CZ-EDU-1945-1969,Gas
DE-EDU-1945-1969,Electricity
DE-EDU-1945-1969,Gas
DK-EDU-1945-1969,District
DK-EDU-1945-1969,Electricity
DK-EDU-1945-1969,Gas
EE-EDU-1945-1969,District
EE-EDU-1945-1969,Electricity
EE-EDU-1945-1969,Gas
EL-EDU-1945-1969,Gas
ES-EDU-1945-1969,Gas
FI-EDU-1945-1969,District
FI-EDU-1945-1969,Electricity
FI-EDU-1945-1969,Gas
FR-EDU-1945-1969,Electricity
FR-EDU-1945-1969,Gas
HR-EDU-1945-1969,Gas
HU-EDU-1945-1969,Gas
IE-EDU-1945-1969,Electricity
IE-EDU-1945-1969,Gas
IT-EDU-1945-1969,Gas
LT-EDU-1945-1969,District
LT-EDU-1945-1969,Electricity
LT-EDU-1945-1969,Gas
LU-EDU-1945-1969,Electricity
LU-EDU-1945-1969,Gas
LV-EDU-1945-1969,District
LV-EDU-1945-1969,Electricity
LV-EDU-1945-1969,Gas
MT-EDU-1945-1969,Gas
NL-EDU-1945-1969,Electricity
NL-EDU-1945-1969,Gas
PL-EDU-1945-1969,Gas
PT-EDU-1945-1969,Gas
RO-EDU-1945-1969,Gas
SE-EDU-1945-1969,District
SE-EDU-1945-1969,Electricity
SE-EDU-1945-1969,Gas
SI-EDU-1945-1969,Gas
SK-EDU-1945-1969,Gas
AT-EDU-1970-1979,Electricity
AT-EDU-1970-1979,Gas
BE-EDU-1970-1979,Electricity
BE-EDU-1970-1979,Gas
BG-EDU-1970-1979,Gas
CY-EDU-1970-1979,Gas
CZ-EDU-1970-1979,Gas
DE-EDU-1970-1979,Electricity
DE-EDU-1970-1979,Gas
DK-EDU-1970-1979,District
DK-EDU-1970-1979,Electricity
DK-EDU-1970-1979,Gas
EE-EDU-1970-1979,District
EE-EDU-1970-1979,Electricity
EE-EDU-1970-1979,Gas
EL-EDU-1970-1979,Gas
ES-EDU-1970-1979,Gas
FI-EDU-1970-1979,District
FI-EDU-1970-1979,Electricity
FI-EDU-1970-1979,Gas
FR-EDU-1970-1979,Electricity
FR-EDU-1970-1979,Gas
HR-EDU-1970-1979,Gas
HU-EDU-1970-1979,Gas
IE-EDU-1970-1979,Electricity
IE-EDU-1970-1979,Gas
IT-EDU-1970-1979,Gas
LT-EDU-1970-1979,District
LT-EDU-1970-1979,Electricity
LT-EDU-1970-1979,Gas
LU-EDU-1970-1979,Electricity
LU-EDU-1970-1979,Gas
LV-EDU-1970-1979,District
LV-EDU-1970-1979,Electricity
LV-EDU-1970-1979,Gas
MT-EDU-1970-1979,Gas
NL-EDU-1970-1979,Electricity
NL-EDU-1970-1979,Gas
PL-EDU-1970-1979,Gas
PT-EDU-1970-1979,Gas
RO-EDU-1970-1979,Gas
SE-EDU-1970-1979,District
SE-EDU-1970-1979,Electricity
SE-EDU-1970-1979,Gas
SI-EDU-1970-1979,Gas
