building_scope,location_id
AT_nonres_1850_2021,AT
AT_res_1850_2021,AT
BE_nonres_1850_2021,BE
BE_res_1850_2021,BE
BG_nonres_1850_2021,BG
BG_res_1850_2021,BG
CH_nonres_1850_2021,CH
CH_res_1850_2021,CH
CY_nonres_1850_2021,CY
CY_res_1850_2021,CY
CZ_nonres_1850_2021,CZ
CZ_res_1850_2021,CZ
DE_nonres_1850_2021,DE
DE_res_1850_2021,DE
DK_nonres_1850_2021,DK
DK_res_1850_2021,DK
EE_nonres_1850_2021,EE
EE_res_1850_2021,EE
EL_nonres_1850_2021,EL
EL_res_1850_2021,EL
ES_nonres_1850_2021,ES
ES_res_1850_2021,ES
FI_nonres_1850_2021,FI
FI_res_1850_2021,FI
FR_nonres_1850_2021,FR
FR_res_1850_2021,FR
HR_nonres_1850_2021,HR
HR_res_1850_2021,HR
HU_nonres_1850_2021,HU
HU_res_1850_2021,HU
IE_nonres_1850_2021,IE
IE_res_1850_2021,IE
IT_nonres_1850_2021,IT
IT_res_1850_2021,IT
LT_nonres_1850_2021,LT
LT_res_1850_2021,LT
LU_nonres_1850_2021,LU
LU_res_1850_2021,LU
LV_nonres_1850_2021,LV
LV_res_1850_2021,LV
MT_nonres_1850_2021,MT
MT_res_1850_2021,MT
NL_nonres_1850_2021,NL
NL_res_1850_2021,NL
NO_nonres_1850_2021,NO
NO_res_1850_2021,NO
PL_nonres_1850_2021,PL
PL_res_1850_2021,PL
PT_nonres_1850_2021,PT
PT_res_1850_2021,PT
RO_nonres_1850_2021,RO
RO_res_1850_2021,RO
SE_nonres_1850_2021,SE
SE_res_1850_2021,SE
SI_nonres_1850_2021,SI
SI_res_1850_2021,SI
SK_nonres_1850_2021,SK
SK_res_1850_2021,SK
UK_nonres_1850_2021,UK
UK_res_1850_2021,UK
