country,timezone,loads,grid_name,node_name
AL,1,central,heat,AL
AT,1,central,heat,AT
BA,1,central,heat,BA
BE,1,central,heat,BE
BG,2,central,heat,BG
CH,1,central,heat,CH
CY,2,central,heat,CY
CZ,1,central,heat,CZ
DE,1,central,heat,DE
DK,1,nordic,heat,DK
EE,2,nordic,heat,EE
EL,2,central,heat,EL
ES,1,central,heat,ES
FI,2,nordic,heat,FI
FR,1,central,heat,FR
HR,1,central,heat,HR
HU,1,central,heat,HU
IE,0,central,heat,IE
IT,1,central,heat,IT
LT,2,nordic,heat,LT
LU,1,central,heat,LU
LV,2,nordic,heat,LV
MD,2,central,heat,MD
ME,1,central,heat,ME
MK,1,central,heat,MK
MT,1,central,heat,MT
NL,1,central,heat,NL
NO,1,nordic,heat,NO
PL,1,central,heat,PL
PT,0,central,heat,PT
RO,2,central,heat,RO
RS,1,central,heat,RS
SE,1,nordic,heat,SE
SI,1,central,heat,SI
SK,1,central,heat,SK
TR,3,central,heat,TR
UA,2,central,heat,UA
UK,0,central,heat,UK
XK,1,central,heat,XK
