country,timezone,loads
AL,1,central
AT,1,central
BA,1,central
BE,1,central
BG,2,central
CH,1,central
CY,2,central
CZ,1,central
DE,1,central
DK,1,nordic
EE,2,nordic
EL,2,central
ES,1,central
FI,2,nordic
FR,1,central
HR,1,central
HU,1,central
IE,0,central
IT,1,central
LT,2,nordic
LU,1,central
LV,2,nordic
MD,2,central
ME,1,central
MK,1,central
MT,1,central
NL,1,central
NO,1,nordic
PL,1,central
PT,0,central
RO,2,central
RS,1,central
SE,1,nordic
SI,1,central
SK,1,central
TR,3,central
UA,2,central
UK,0,central
XK,1,central
